0,1,2,3,4,5,6,7,8,9,10
"12,123.83","12,166.25","12,180.98","12,243.31","12,313.85","12,410.62","12,375.42","12,350.86","12,367.02","12,419.71","12,411.29"
"12,166.25","12,180.98","12,243.31","12,313.85","12,410.62","12,375.42","12,350.86","12,367.02","12,419.71","12,411.29","12,324.59"
"12,180.98","12,243.31","12,313.85","12,410.62","12,375.42","12,350.86","12,367.02","12,419.71","12,411.29","12,324.59","12,416.42"
"12,243.31","12,313.85","12,410.62","12,375.42","12,350.86","12,367.02","12,419.71","12,411.29","12,324.59","12,416.42","12,478.41"
"12,313.85","12,410.62","12,375.42","12,350.86","12,367.02","12,419.71","12,411.29","12,324.59","12,416.42","12,478.41","12,568.63"
"12,410.62","12,375.42","12,350.86","12,367.02","12,419.71","12,411.29","12,324.59","12,416.42","12,478.41","12,568.63","12,825.39"
"12,375.42","12,350.86","12,367.02","12,419.71","12,411.29","12,324.59","12,416.42","12,478.41","12,568.63","12,825.39","12,917.26"
"12,350.86","12,367.02","12,419.71","12,411.29","12,324.59","12,416.42","12,478.41","12,568.63","12,825.39","12,917.26","13,021.92"
"12,367.02","12,419.71","12,411.29","12,324.59","12,416.42","12,478.41","12,568.63","12,825.39","12,917.26","13,021.92","13,329.38"
"12,419.71","12,411.29","12,324.59","12,416.42","12,478.41","12,568.63","12,825.39","12,917.26","13,021.92","13,329.38","13,586.83"
"12,411.29","12,324.59","12,416.42","12,478.41","12,568.63","12,825.39","12,917.26","13,021.92","13,329.38","13,586.83","13,760.52"
"12,324.59","12,416.42","12,478.41","12,568.63","12,825.39","12,917.26","13,021.92","13,329.38","13,586.83","13,760.52","13,685.96"
"12,416.42","12,478.41","12,568.63","12,825.39","12,917.26","13,021.92","13,329.38","13,586.83","13,760.52","13,685.96","13,772.92"
"12,478.41","12,568.63","12,825.39","12,917.26","13,021.92","13,329.38","13,586.83","13,760.52","13,685.96","13,772.92","13,755.75"
"12,568.63","12,825.39","12,917.26","13,021.92","13,329.38","13,586.83","13,760.52","13,685.96","13,772.92","13,755.75","13,923.97"
"12,825.39","12,917.26","13,021.92","13,329.38","13,586.83","13,760.52","13,685.96","13,772.92","13,755.75","13,923.97","14,352.75"
"12,917.26","13,021.92","13,329.38","13,586.83","13,760.52","13,685.96","13,772.92","13,755.75","13,923.97","14,352.75","14,926.45"
"13,021.92","13,329.38","13,586.83","13,760.52","13,685.96","13,772.92","13,755.75","13,923.97","14,352.75","14,926.45","14,834.58"
"13,329.38","13,586.83","13,760.52","13,685.96","13,772.92","13,755.75","13,923.97","14,352.75","14,926.45","14,834.58","14,863.94"
"13,586.83","13,760.52","13,685.96","13,772.92","13,755.75","13,923.97","14,352.75","14,926.45","14,834.58","14,863.94","13,767.66"
"13,760.52","13,685.96","13,772.92","13,755.75","13,923.97","14,352.75","14,926.45","14,834.58","14,863.94","13,767.66","14,043.03"
"13,685.96","13,772.92","13,755.75","13,923.97","14,352.75","14,926.45","14,834.58","14,863.94","13,767.66","14,043.03","14,323.03"
"13,772.92","13,755.75","13,923.97","14,352.75","14,926.45","14,834.58","14,863.94","13,767.66","14,043.03","14,323.03","14,317.86"
"13,755.75","13,923.97","14,352.75","14,926.45","14,834.58","14,863.94","13,767.66","14,043.03","14,323.03","14,317.86","14,645.24"
"13,923.97","14,352.75","14,926.45","14,834.58","14,863.94","13,767.66","14,043.03","14,323.03","14,317.86","14,645.24","14,749.74"
"14,352.75","14,926.45","14,834.58","14,863.94","13,767.66","14,043.03","14,323.03","14,317.86","14,645.24","14,749.74","14,061.01"
"14,926.45","14,834.58","14,863.94","13,767.66","14,043.03","14,323.03","14,317.86","14,645.24","14,749.74","14,061.01","14,195.39"
"14,834.58","14,863.94","13,767.66","14,043.03","14,323.03","14,317.86","14,645.24","14,749.74","14,061.01","14,195.39","14,228.59"
"14,863.94","13,767.66","14,043.03","14,323.03","14,317.86","14,645.24","14,749.74","14,061.01","14,195.39","14,228.59","14,224.79"
"13,767.66","14,043.03","14,323.03","14,317.86","14,645.24","14,749.74","14,061.01","14,195.39","14,228.59","14,224.79","14,241.03"
"14,043.03","14,323.03","14,317.86","14,645.24","14,749.74","14,061.01","14,195.39","14,228.59","14,224.79","14,241.03","14,387.62"
"14,323.03","14,317.86","14,645.24","14,749.74","14,061.01","14,195.39","14,228.59","14,224.79","14,241.03","14,387.62","14,197.34"
"14,317.86","14,645.24","14,749.74","14,061.01","14,195.39","14,228.59","14,224.79","14,241.03","14,387.62","14,197.34","14,405.57"
"14,645.24","14,749.74","14,061.01","14,195.39","14,228.59","14,224.79","14,241.03","14,387.62","14,197.34","14,405.57","14,453.55"
"14,749.74","14,061.01","14,195.39","14,228.59","14,224.79","14,241.03","14,387.62","14,197.34","14,405.57","14,453.55","14,509.36"
"14,061.01","14,195.39","14,228.59","14,224.79","14,241.03","14,387.62","14,197.34","14,405.57","14,453.55","14,509.36","14,339.13"
"14,195.39","14,228.59","14,224.79","14,241.03","14,387.62","14,197.34","14,405.57","14,453.55","14,509.36","14,339.13","14,348.82"
