0,1,2,3,4,5,6,7,8,9,10
227.0,184.0,310.0,359.0,368.0,369.0,347.0,221.0,189.0,304.0,290.0
184.0,310.0,359.0,368.0,369.0,347.0,221.0,189.0,304.0,290.0,267.0
310.0,359.0,368.0,369.0,347.0,221.0,189.0,304.0,290.0,267.0,323.0
359.0,368.0,369.0,347.0,221.0,189.0,304.0,290.0,267.0,323.0,327.0
368.0,369.0,347.0,221.0,189.0,304.0,290.0,267.0,323.0,327.0,287.0
369.0,347.0,221.0,189.0,304.0,290.0,267.0,323.0,327.0,287.0,277.0
347.0,221.0,189.0,304.0,290.0,267.0,323.0,327.0,287.0,277.0,230.0
221.0,189.0,304.0,290.0,267.0,323.0,327.0,287.0,277.0,230.0,157.0
189.0,304.0,290.0,267.0,323.0,327.0,287.0,277.0,230.0,157.0,380.0
304.0,290.0,267.0,323.0,327.0,287.0,277.0,230.0,157.0,380.0,443.0
290.0,267.0,323.0,327.0,287.0,277.0,230.0,157.0,380.0,443.0,355.0
267.0,323.0,327.0,287.0,277.0,230.0,157.0,380.0,443.0,355.0,226.0
323.0,327.0,287.0,277.0,230.0,157.0,380.0,443.0,355.0,226.0,227.0
327.0,287.0,277.0,230.0,157.0,380.0,443.0,355.0,226.0,227.0,326.0
287.0,277.0,230.0,157.0,380.0,443.0,355.0,226.0,227.0,326.0,457.0
277.0,230.0,157.0,380.0,443.0,355.0,226.0,227.0,326.0,457.0,116.0
230.0,157.0,380.0,443.0,355.0,226.0,227.0,326.0,457.0,116.0,99.0
157.0,380.0,443.0,355.0,226.0,227.0,326.0,457.0,116.0,99.0,268.0
380.0,443.0,355.0,226.0,227.0,326.0,457.0,116.0,99.0,268.0,253.0
443.0,355.0,226.0,227.0,326.0,457.0,116.0,99.0,268.0,253.0,252.0
355.0,226.0,227.0,326.0,457.0,116.0,99.0,268.0,253.0,252.0,345.0
226.0,227.0,326.0,457.0,116.0,99.0,268.0,253.0,252.0,345.0,313.0
227.0,326.0,457.0,116.0,99.0,268.0,253.0,252.0,345.0,313.0,351.0
326.0,457.0,116.0,99.0,268.0,253.0,252.0,345.0,313.0,351.0,357.0
457.0,116.0,99.0,268.0,253.0,252.0,345.0,313.0,351.0,357.0,393.0
116.0,99.0,268.0,253.0,252.0,345.0,313.0,351.0,357.0,393.0,231.0
99.0,268.0,253.0,252.0,345.0,313.0,351.0,357.0,393.0,231.0,373.0
268.0,253.0,252.0,345.0,313.0,351.0,357.0,393.0,231.0,373.0,394.0
253.0,252.0,345.0,313.0,351.0,357.0,393.0,231.0,373.0,394.0,352.0
252.0,345.0,313.0,351.0,357.0,393.0,231.0,373.0,394.0,352.0,369.0
345.0,313.0,351.0,357.0,393.0,231.0,373.0,394.0,352.0,369.0,354.0
313.0,351.0,357.0,393.0,231.0,373.0,394.0,352.0,369.0,354.0,402.0
351.0,357.0,393.0,231.0,373.0,394.0,352.0,369.0,354.0,402.0,339.0
357.0,393.0,231.0,373.0,394.0,352.0,369.0,354.0,402.0,339.0,365.0
393.0,231.0,373.0,394.0,352.0,369.0,354.0,402.0,339.0,365.0,440.0
231.0,373.0,394.0,352.0,369.0,354.0,402.0,339.0,365.0,440.0,417.0
373.0,394.0,352.0,369.0,354.0,402.0,339.0,365.0,440.0,417.0,486.0
394.0,352.0,369.0,354.0,402.0,339.0,365.0,440.0,417.0,486.0,569.0
352.0,369.0,354.0,402.0,339.0,365.0,440.0,417.0,486.0,569.0,673.0
369.0,354.0,402.0,339.0,365.0,440.0,417.0,486.0,569.0,673.0,376.0
354.0,402.0,339.0,365.0,440.0,417.0,486.0,569.0,673.0,376.0,417.0
402.0,339.0,365.0,440.0,417.0,486.0,569.0,673.0,376.0,417.0,255.0
339.0,365.0,440.0,417.0,486.0,569.0,673.0,376.0,417.0,255.0,334.0
365.0,440.0,417.0,486.0,569.0,673.0,376.0,417.0,255.0,334.0,441.0
440.0,417.0,486.0,569.0,673.0,376.0,417.0,255.0,334.0,441.0,416.0
417.0,486.0,569.0,673.0,376.0,417.0,255.0,334.0,441.0,416.0,336.0
486.0,569.0,673.0,376.0,417.0,255.0,334.0,441.0,416.0,336.0,453.0
569.0,673.0,376.0,417.0,255.0,334.0,441.0,416.0,336.0,453.0,552.0
673.0,376.0,417.0,255.0,334.0,441.0,416.0,336.0,453.0,552.0,333.0
376.0,417.0,255.0,334.0,441.0,416.0,336.0,453.0,552.0,333.0,426.0
417.0,255.0,334.0,441.0,416.0,336.0,453.0,552.0,333.0,426.0,491.0
255.0,334.0,441.0,416.0,336.0,453.0,552.0,333.0,426.0,491.0,388.0
334.0,441.0,416.0,336.0,453.0,552.0,333.0,426.0,491.0,388.0,447.0
441.0,416.0,336.0,453.0,552.0,333.0,426.0,491.0,388.0,447.0,478.0
416.0,336.0,453.0,552.0,333.0,426.0,491.0,388.0,447.0,478.0,139.0
336.0,453.0,552.0,333.0,426.0,491.0,388.0,447.0,478.0,139.0,431.0
453.0,552.0,333.0,426.0,491.0,388.0,447.0,478.0,139.0,431.0,491.0
552.0,333.0,426.0,491.0,388.0,447.0,478.0,139.0,431.0,491.0,435.0
333.0,426.0,491.0,388.0,447.0,478.0,139.0,431.0,491.0,435.0,143.0
426.0,491.0,388.0,447.0,478.0,139.0,431.0,491.0,435.0,143.0,455.0
491.0,388.0,447.0,478.0,139.0,431.0,491.0,435.0,143.0,455.0,490.0
388.0,447.0,478.0,139.0,431.0,491.0,435.0,143.0,455.0,490.0,556.0
447.0,478.0,139.0,431.0,491.0,435.0,143.0,455.0,490.0,556.0,471.0
478.0,139.0,431.0,491.0,435.0,143.0,455.0,490.0,556.0,471.0,473.0
139.0,431.0,491.0,435.0,143.0,455.0,490.0,556.0,471.0,473.0,504.0
431.0,491.0,435.0,143.0,455.0,490.0,556.0,471.0,473.0,504.0,631.0
491.0,435.0,143.0,455.0,490.0,556.0,471.0,473.0,504.0,631.0,745.0
435.0,143.0,455.0,490.0,556.0,471.0,473.0,504.0,631.0,745.0,717.0
143.0,455.0,490.0,556.0,471.0,473.0,504.0,631.0,745.0,717.0,568.0
455.0,490.0,556.0,471.0,473.0,504.0,631.0,745.0,717.0,568.0,478.0
490.0,556.0,471.0,473.0,504.0,631.0,745.0,717.0,568.0,478.0,622.0
556.0,471.0,473.0,504.0,631.0,745.0,717.0,568.0,478.0,622.0,488.0
471.0,473.0,504.0,631.0,745.0,717.0,568.0,478.0,622.0,488.0,429.0
473.0,504.0,631.0,745.0,717.0,568.0,478.0,622.0,488.0,429.0,508.0
504.0,631.0,745.0,717.0,568.0,478.0,622.0,488.0,429.0,508.0,574.0
631.0,745.0,717.0,568.0,478.0,622.0,488.0,429.0,508.0,574.0,389.0
745.0,717.0,568.0,478.0,622.0,488.0,429.0,508.0,574.0,389.0,466.0
717.0,568.0,478.0,622.0,488.0,429.0,508.0,574.0,389.0,466.0,558.0
568.0,478.0,622.0,488.0,429.0,508.0,574.0,389.0,466.0,558.0,353.0
478.0,622.0,488.0,429.0,508.0,574.0,389.0,466.0,558.0,353.0,388.0
622.0,488.0,429.0,508.0,574.0,389.0,466.0,558.0,353.0,388.0,512.0
488.0,429.0,508.0,574.0,389.0,466.0,558.0,353.0,388.0,512.0,518.0
429.0,508.0,574.0,389.0,466.0,558.0,353.0,388.0,512.0,518.0,747.0
508.0,574.0,389.0,466.0,558.0,353.0,388.0,512.0,518.0,747.0,716.0
574.0,389.0,466.0,558.0,353.0,388.0,512.0,518.0,747.0,716.0,413.0
389.0,466.0,558.0,353.0,388.0,512.0,518.0,747.0,716.0,413.0,646.0
466.0,558.0,353.0,388.0,512.0,518.0,747.0,716.0,413.0,646.0,722.0
558.0,353.0,388.0,512.0,518.0,747.0,716.0,413.0,646.0,722.0,338.0
353.0,388.0,512.0,518.0,747.0,716.0,413.0,646.0,722.0,338.0,565.0
388.0,512.0,518.0,747.0,716.0,413.0,646.0,722.0,338.0,565.0,666.0
512.0,518.0,747.0,716.0,413.0,646.0,722.0,338.0,565.0,666.0,770.0
518.0,747.0,716.0,413.0,646.0,722.0,338.0,565.0,666.0,770.0,468.0
747.0,716.0,413.0,646.0,722.0,338.0,565.0,666.0,770.0,468.0,497.0
716.0,413.0,646.0,722.0,338.0,565.0,666.0,770.0,468.0,497.0,751.0
413.0,646.0,722.0,338.0,565.0,666.0,770.0,468.0,497.0,751.0,719.0
646.0,722.0,338.0,565.0,666.0,770.0,468.0,497.0,751.0,719.0,183.0
722.0,338.0,565.0,666.0,770.0,468.0,497.0,751.0,719.0,183.0,861.0
338.0,565.0,666.0,770.0,468.0,497.0,751.0,719.0,183.0,861.0,789.0
565.0,666.0,770.0,468.0,497.0,751.0,719.0,183.0,861.0,789.0,737.0
666.0,770.0,468.0,497.0,751.0,719.0,183.0,861.0,789.0,737.0,907.0
770.0,468.0,497.0,751.0,719.0,183.0,861.0,789.0,737.0,907.0,963.0
468.0,497.0,751.0,719.0,183.0,861.0,789.0,737.0,907.0,963.0,387.0
497.0,751.0,719.0,183.0,861.0,789.0,737.0,907.0,963.0,387.0,928.0
751.0,719.0,183.0,861.0,789.0,737.0,907.0,963.0,387.0,928.0,964.0
719.0,183.0,861.0,789.0,737.0,907.0,963.0,387.0,928.0,964.0,937.0
183.0,861.0,789.0,737.0,907.0,963.0,387.0,928.0,964.0,937.0,1012.0
861.0,789.0,737.0,907.0,963.0,387.0,928.0,964.0,937.0,1012.0,891.0
789.0,737.0,907.0,963.0,387.0,928.0,964.0,937.0,1012.0,891.0,933.0
737.0,907.0,963.0,387.0,928.0,964.0,937.0,1012.0,891.0,933.0,1057.0
907.0,963.0,387.0,928.0,964.0,937.0,1012.0,891.0,933.0,1057.0,1222.0
