date,totalrentals
1/1/2016,227
1/2/2016,184
1/3/2016,310
1/4/2016,359
1/5/2016,368
1/6/2016,369
1/7/2016,347
1/8/2016,221
1/9/2016,189
1/10/2016,304
1/11/2016,290
1/12/2016,267
1/13/2016,323
1/14/2016,327
1/15/2016,287
1/16/2016,277
1/17/2016,230
1/18/2016,157
1/19/2016,380
1/20/2016,443
1/21/2016,355
1/22/2016,226
1/23/2016,227
1/24/2016,326
1/25/2016,457
1/26/2016,116
1/27/2016,99
1/28/2016,268
1/29/2016,253
1/30/2016,252
1/31/2016,345
2/1/2016,313
2/2/2016,351
2/3/2016,357
2/4/2016,393
2/5/2016,231
2/6/2016,373
2/7/2016,394
2/8/2016,352
2/9/2016,369
2/10/2016,354
2/11/2016,402
2/12/2016,339
2/13/2016,365
2/14/2016,440
2/15/2016,417
2/16/2016,486
2/17/2016,569
2/18/2016,673
2/19/2016,376
2/20/2016,417
2/21/2016,255
2/22/2016,334
2/23/2016,441
2/24/2016,416
2/25/2016,336
2/26/2016,453
2/27/2016,552
2/28/2016,333
2/29/2016,426
3/1/2016,491
3/2/2016,388
3/3/2016,447
3/4/2016,478
3/5/2016,139
3/6/2016,431
3/7/2016,491
3/8/2016,435
3/9/2016,143
3/10/2016,455
3/11/2016,490
3/12/2016,556
3/13/2016,471
3/14/2016,473
3/15/2016,504
3/16/2016,631
3/17/2016,745
3/18/2016,717
3/19/2016,568
3/20/2016,478
3/21/2016,622
3/22/2016,488
3/23/2016,429
3/24/2016,508
3/25/2016,574
3/26/2016,389
3/27/2016,466
3/28/2016,558
3/29/2016,353
3/30/2016,388
3/31/2016,512
4/1/2016,518
4/2/2016,747
4/3/2016,716
4/4/2016,413
4/5/2016,646
4/6/2016,722
4/7/2016,338
4/8/2016,565
4/9/2016,666
4/10/2016,770
4/11/2016,468
4/12/2016,497
4/13/2016,751
4/14/2016,719
4/15/2016,183
4/16/2016,861
4/17/2016,789
4/18/2016,737
4/19/2016,907
4/20/2016,963
4/21/2016,387
4/22/2016,928
4/23/2016,964
4/24/2016,937
4/25/2016,1012
4/26/2016,891
4/27/2016,933
4/28/2016,1057
4/29/2016,1222
4/30/2016,771
5/1/2016,1012
5/2/2016,1024
5/3/2016,606
5/4/2016,1020
5/5/2016,1060
5/6/2016,1084
5/7/2016,997
5/8/2016,1003
5/9/2016,1105
5/10/2016,962
5/11/2016,1119
5/12/2016,944
5/13/2016,784
5/14/2016,1047
5/15/2016,910
5/16/2016,948
5/17/2016,887
5/18/2016,1052
5/19/2016,1131
5/20/2016,1335
5/21/2016,1072
5/22/2016,983
5/23/2016,1033
5/24/2016,1145
5/25/2016,1076
5/26/2016,1076
5/27/2016,1094
5/28/2016,1101
5/29/2016,943
5/30/2016,916
5/31/2016,914
6/1/2016,1143
6/2/2016,1222
6/3/2016,1229
6/4/2016,1128
6/5/2016,1046
6/6/2016,1112
6/7/2016,1012
6/8/2016,900
6/9/2016,1055
6/10/2016,1142
6/11/2016,1026
6/12/2016,1155
6/13/2016,1125
6/14/2016,1191
6/15/2016,866
6/16/2016,1114
6/17/2016,1177
6/18/2016,1091
6/19/2016,922
6/20/2016,1112
6/21/2016,1037
6/22/2016,1102
6/23/2016,1148
6/24/2016,1196
6/25/2016,1220
6/26/2016,1083
6/27/2016,1069
6/28/2016,1202
6/29/2016,1268
6/30/2016,1233
7/1/2016,1177
7/2/2016,1069
7/3/2016,1390
7/4/2016,1073
7/5/2016,1065
7/6/2016,1056
7/7/2016,929
7/8/2016,1227
7/9/2016,1123
7/10/2016,940
7/11/2016,979
7/12/2016,999
7/13/2016,1169
7/14/2016,1274
7/15/2016,1362
7/16/2016,1219
7/17/2016,1025
7/18/2016,1044
7/19/2016,996
7/20/2016,870
7/21/2016,779
7/22/2016,756
7/23/2016,829
7/24/2016,883
7/25/2016,1056
7/26/2016,1071
7/27/2016,1010
7/28/2016,885
7/29/2016,1029
7/30/2016,989
7/31/2016,981
8/1/2016,1114
8/2/2016,822
8/3/2016,1052
8/4/2016,1119
8/5/2016,988
8/6/2016,871
8/7/2016,995
8/8/2016,1058
8/9/2016,1099
8/10/2016,1102
8/11/2016,1128
8/12/2016,955
8/13/2016,879
8/14/2016,998
8/15/2016,1087
8/16/2016,1080
8/17/2016,875
8/18/2016,955
8/19/2016,1194
8/20/2016,891
8/21/2016,1094
8/22/2016,1356
8/23/2016,1180
8/24/2016,815
8/25/2016,1072
8/26/2016,256
8/27/2016,997
8/28/2016,1066
8/29/2016,1197
8/30/2016,1163
8/31/2016,1176
9/1/2016,1087
9/2/2016,1031
9/3/2016,1136
9/4/2016,771
9/5/2016,623
9/6/2016,459
9/7/2016,424
9/8/2016,815
9/9/2016,1229
9/10/2016,1161
9/11/2016,1084
9/12/2016,1095
9/13/2016,1101
9/14/2016,842
9/15/2016,1095
9/16/2016,1038
9/17/2016,983
9/18/2016,1044
9/19/2016,837
9/20/2016,1001
9/21/2016,1103
9/22/2016,551
9/23/2016,1247
9/24/2016,1152
9/25/2016,1065
9/26/2016,948
9/27/2016,899
9/28/2016,1113
9/29/2016,1196
9/30/2016,559
10/1/2016,671
10/2/2016,821
10/3/2016,1025
10/4/2016,1110
10/5/2016,1096
10/6/2016,1147
10/7/2016,1244
10/8/2016,1268
10/9/2016,1177
10/10/2016,1049
10/11/2016,556
10/12/2016,670
10/13/2016,838
10/14/2016,1200
10/15/2016,1159
10/16/2016,1051
10/17/2016,1092
10/18/2016,558
10/19/2016,965
10/20/2016,990
10/21/2016,991
10/22/2016,1008
10/23/2016,963
10/24/2016,1078
10/25/2016,896
10/26/2016,612
10/27/2016,862
10/28/2016,144
10/29/2016,766
10/30/2016,844
10/31/2016,936
11/1/2016,963
11/2/2016,914
11/3/2016,931
11/4/2016,903
11/5/2016,839
11/6/2016,928
11/7/2016,967
11/8/2016,945
11/9/2016,675
11/10/2016,775
11/11/2016,935
11/12/2016,855
11/13/2016,1032
11/14/2016,965
11/15/2016,418
11/16/2016,702
11/17/2016,780
11/18/2016,842
11/19/2016,810
11/20/2016,636
11/21/2016,370
11/22/2016,590
11/23/2016,344
11/24/2016,642
11/25/2016,706
11/26/2016,706
11/27/2016,889
11/28/2016,670
11/29/2016,831
11/30/2016,857
12/1/2016,906
12/2/2016,831
12/3/2016,802
12/4/2016,877
12/5/2016,597
12/6/2016,162
12/7/2016,764
12/8/2016,833
12/9/2016,734
12/10/2016,631
12/11/2016,761
12/12/2016,810
12/13/2016,860
12/14/2016,853
12/15/2016,823
12/16/2016,630
12/17/2016,559
12/18/2016,783
12/19/2016,863
12/20/2016,612
12/21/2016,706
12/22/2016,508
12/23/2016,233
12/24/2016,173
12/25/2016,303
12/26/2016,267
12/27/2016,529
12/28/2016,557
12/29/2016,690
12/30/2016,572
12/31/2016,528
1/1/2017,449
1/2/2017,514
1/3/2017,545
1/4/2017,753
1/5/2017,943
1/6/2017,1040
1/7/2017,788
1/8/2017,546
1/9/2017,828
1/10/2017,501
1/11/2017,942
1/12/2017,739
1/13/2017,573
1/14/2017,532
1/15/2017,529
1/16/2017,675
1/17/2017,776
1/18/2017,757
1/19/2017,727
1/20/2017,299
1/21/2017,455
1/22/2017,559
1/23/2017,998
1/24/2017,982
1/25/2017,937
1/26/2017,795
1/27/2017,925
1/28/2017,746
1/29/2017,834
1/30/2017,1037
1/31/2017,1053
2/1/2017,865
2/2/2017,955
2/3/2017,651
2/4/2017,678
2/5/2017,870
2/6/2017,1006
2/7/2017,644
2/8/2017,881
2/9/2017,881
2/10/2017,499
2/11/2017,352
2/12/2017,787
2/13/2017,902
2/14/2017,959
2/15/2017,691
2/16/2017,955
2/17/2017,993
2/18/2017,618
2/19/2017,720
